demvote,current,name
65.88%,rep,Ohio4
66.81%,rep,Ohio5
61.51%,rep,Ohio6
61.73%,rep,Ohio7
69.40%,rep,Ohio8
29.31%,dem,Ohio9
68.88%,rep,Oklahoma1
69.88%,rep,Oklahoma2
78.80%,rep,Oklahoma3
72.82%,rep,Oklahoma4
61.58%,rep,Oklahoma5
37.31%,dem,Oregon1
71.95%,rep,Oregon2
21.00%,dem,Oregon3
40.33%,dem,Oregon4
43.75%,dem,Oregon5
50.37%,rep,Pennsylvania1
55.34%,rep,Pennsylvania10
63.70%,rep,Pennsylvania11
66.77%,rep,Pennsylvania12
71.27%,rep,Pennsylvania13
62.79%,rep,Pennsylvania14
68.89%,rep,Pennsylvania15
57.60%,rep,Pennsylvania16
53.01%,dem,Pennsylvania17
37.21%,dem,Pennsylvania18
24.87%,dem,Pennsylvania2
8.72%,dem,Pennsylvania3
43.06%,rep,Pennsylvania4
37.02%,rep,Pennsylvania5
48.23%,rep,Pennsylvania6
49.26%,rep,Pennsylvania7
50.49%,dem,Pennsylvania8
63.91%,rep,Pennsylvania9
39.85%,dem,Rhode Island1
37.11%,dem,Rhode Island2
63.84%,rep,South Carolina1
63.32%,rep,South Carolina2
70.42%,rep,South Carolina3
67.94%,rep,South Carolina4
58.45%,rep,South Carolina5
27.34%,dem,South Carolina6
59.01%,rep,South Carolina7
62.84%,rep,South DakotaAL
81.75%,rep,Tennessee1
76.89%,rep,Tennessee2
65.96%,rep,Tennessee3
61.18%,rep,Tennessee4
35.92%,dem,Tennessee5
74.13%,rep,Tennessee6
74.33%,rep,Tennessee7
72.85%,rep,Tennessee8
22.52%,dem,Tennessee9
75.31%,rep,Texas1
62.47%,rep,Texas10
83.74%,rep,Texas11
72.75%,rep,Texas12
86.07%,rep,Texas13
60.00%,rep,Texas14
40.77%,dem,Texas15
30.51%,dem,Texas16
64.47%,rep,Texas17
24.53%,dem,Texas18
79.35%,rep,Texas19
66.43%,rep,Texas2
37.20%,dem,Texas20
63.58%,rep,Texas21
64.83%,rep,Texas22
49.92%,rep,Texas23
62.99%,rep,Texas24
61.52%,rep,Texas25
71.33%,rep,Texas26
62.22%,rep,Texas27
33.26%,dem,Texas28
32.91%,dem,Texas29
68.05%,rep,Texas3
19.32%,dem,Texas30
64.11%,rep,Texas31
60.36%,rep,Texas32
27.75%,dem,Texas33
38.01%,dem,Texas34
33.98%,dem,Texas35
76.01%,rep,Texas36
78.24%,rep,Texas4
68.27%,rep,Texas5
60.90%,rep,Texas6
61.28%,rep,Texas7
81.38%,rep,Texas8
21.15%,dem,Texas9
71.99%,rep,Utah1
65.04%,rep,Utah2
75.59%,rep,Utah3
53.16%,rep,Utah4
29.88%,dem,VermontAL
59.35%,rep,Virginia1
52.08%,rep,Virginia10
36.27%,dem,Virginia11
56.66%,rep,Virginia2
32.80%,dem,Virginia3
40.94%,dem,Virginia4
56.25%,rep,Virginia5
63.67%,rep,Virginia6
56.80%,rep,Virginia7
30.38%,dem,Virginia8
67.97%,rep,Virginia9
45.35%,dem,Washington1
42.84%,dem,Washington10
38.24%,dem,Washington2
61.37%,rep,Washington3
67.50%,rep,Washington4
60.90%,rep,Washington5
38.98%,dem,Washington6
18.34%,dem,Washington7
61.19%,rep,Washington8
28.37%,dem,Washington9
65.27%,rep,West Virginia1
60.04%,rep,West Virginia2
58.56%,rep,West Virginia3
62.63%,rep,Wisconsin1
31.72%,dem,Wisconsin2
42.28%,dem,Wisconsin3
25.84%,dem,Wisconsin4
69.12%,rep,Wisconsin5
60.44%,rep,Wisconsin6
59.46%,rep,Wisconsin7
61.39%,rep,Wisconsin8
72.37%,rep,WyomingAL
